(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)
(2, 4, 6, 8, 10, 12, 14, 16, 18, 20)
(3, 6, 9, 12, 15, 18, 21, 24, 27, 30)
(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
(-1, -2, -3, -4, -5, -6, -7, -8, -9, -10)
(2, 8, 18, 32, 50, 72, 98, 128, 162, 200)
(0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5)
(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
(11, 22, 33, 44, 55, 66, 77, 88, 99, 110)
(-6, -12, -18, -24, -30, -36, -42, -48, -54, -60)
(2, 32, 162, 512, 1250, 2592, 4802, 8192, 13122, 20000)
(0.25, 0.03125, 0.009259259259259259, 0.00390625, 0.002, 0.0011574074074074073, 0.0007288629737609329, 0.00048828125, 0.0003429355281207133, 0.00025)
(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
(3.0, 5.0, 8.0, 11.0, 14.0, 17.0, 20.0, 23.0, 26.0, 29.0)
